dt_s,variance,noise,evidence_level,omega,marginal,joint_k2,joint_k8,joint_k8_sd,amplitude_k2,amplitude_k8
0.1,sf85,uniform_ma1,SYNTHETIC_AT_CERTIFIED_DT,0.0,0.89847375,0.8069891666666666,0.4245108333333333,0.008791858917297515,0.000827499999999981,0.10888583333333335
0.1,sf85,uniform_ma1,SYNTHETIC_AT_CERTIFIED_DT,0.25,0.89842625,0.8073616666666666,0.43121916666666665,0.00927960091600095,0.000827499999999981,0.10888583333333335
0.1,sf85,uniform_ma1,SYNTHETIC_AT_CERTIFIED_DT,0.5,0.8986294791666666,0.8078166666666666,0.45189750000000006,0.009660234062302535,0.000827499999999981,0.10888583333333335
0.1,sf85,uniform_ma1,SYNTHETIC_AT_CERTIFIED_DT,0.75,0.8985838541666668,0.8076525000000001,0.4852183333333333,0.010104457087988088,0.000827499999999981,0.10888583333333335
0.1,sf85,uniform_ma1,SYNTHETIC_AT_CERTIFIED_DT,1.0,0.8985370833333335,0.8074458333333334,0.5333966666666666,0.010155925072111932,0.000827499999999981,0.10888583333333335
0.1,cert,white,SYNTHETIC_AT_CERTIFIED_DT,0.0,0.8983030208333334,0.8063241666666667,0.42358166666666663,0.011262377520030356,0.0014650000000000496,0.1361283333333334
0.1,cert,white,SYNTHETIC_AT_CERTIFIED_DT,0.25,0.89835625,0.8074066666666667,0.4322433333333333,0.011526834179324994,0.0014650000000000496,0.1361283333333334
0.1,cert,white,SYNTHETIC_AT_CERTIFIED_DT,0.5,0.8985673958333333,0.8077891666666668,0.4574325,0.011769018578328475,0.0014650000000000496,0.1361283333333334
0.1,cert,white,SYNTHETIC_AT_CERTIFIED_DT,0.75,0.8985436458333333,0.8075950000000001,0.49785999999999997,0.012111540057663909,0.0014650000000000496,0.1361283333333334
0.1,cert,white,SYNTHETIC_AT_CERTIFIED_DT,1.0,0.8985482291666668,0.8073766666666667,0.55971,0.011484036452571797,0.0014650000000000496,0.1361283333333334
0.1,cert,gaussian_ma1,SYNTHETIC_AT_CERTIFIED_DT,0.0,0.8983433333333334,0.8065883333333334,0.4241791666666666,0.011171071376833526,0.0009266666666667422,0.13533666666666672
0.1,cert,gaussian_ma1,SYNTHETIC_AT_CERTIFIED_DT,0.25,0.8983834375,0.8074633333333332,0.43242166666666665,0.011526919794781787,0.0009266666666667422,0.13533666666666672
0.1,cert,gaussian_ma1,SYNTHETIC_AT_CERTIFIED_DT,0.5,0.8984790625000001,0.8075150000000001,0.4567525,0.011155954729884471,0.0009266666666667422,0.13533666666666672
0.1,cert,gaussian_ma1,SYNTHETIC_AT_CERTIFIED_DT,0.75,0.8984714583333334,0.8074266666666666,0.49768749999999995,0.011816682525215397,0.0009266666666667422,0.13533666666666672
0.1,cert,gaussian_ma1,SYNTHETIC_AT_CERTIFIED_DT,1.0,0.8985474999999999,0.8072283333333334,0.5595158333333333,0.01167944499414681,0.0009266666666667422,0.13533666666666672
0.1,cert,uniform_ma1,SYNTHETIC_AT_CERTIFIED_DT,0.0,0.8983854166666666,0.8065291666666667,0.4242208333333333,0.010836392268817382,0.0010624999999998552,0.1357658333333333
0.1,cert,uniform_ma1,SYNTHETIC_AT_CERTIFIED_DT,0.25,0.8982560416666666,0.8069741666666667,0.43195333333333336,0.011687874478574466,0.0010624999999998552,0.1357658333333333
0.1,cert,uniform_ma1,SYNTHETIC_AT_CERTIFIED_DT,0.5,0.8985243749999999,0.807545,0.4570641666666667,0.011547630074150493,0.0010624999999998552,0.1357658333333333
0.1,cert,uniform_ma1,SYNTHETIC_AT_CERTIFIED_DT,0.75,0.8984797916666668,0.8075916666666666,0.4977883333333334,0.011434599189585337,0.0010624999999998552,0.1357658333333333
0.1,cert,uniform_ma1,SYNTHETIC_AT_CERTIFIED_DT,1.0,0.8985840625,0.8075550000000001,0.5599866666666666,0.01137959029916651,0.0010624999999998552,0.1357658333333333
