family,procedure,omega,coverage_simultaneous,replicate_sd,mc_se,marginal_slot1,marginal_slot2,marginal_slot3,qhat_mean,acceptance,amplitude,snr,worst_step,marginal_drift,nc3_signed
primary,maxscore,0.25,0.8976033333333333,0.01895892118108628,0.0013405981731127378,0.9616883333333333,0.9593224999999999,0.9549358333333332,15.966269537599084,0.5115866666666666,0.0007141666666666824,0.03477956126085553,-0.0007141666666666824,0.0023599999999990295,0.01591407313811244
primary,maxscore,0.5,0.8977208333333334,0.020859417088390755,0.0014749835274799651,0.9625225,0.9594258333333336,0.9541741666666677,17.195024273671358,0.4841508333333333,0.0007141666666666824,0.03477956126085553,-0.0007141666666666824,0.0023599999999990295,0.01591407313811244
primary,maxscore,0.75,0.8981641666666667,0.02124856534389195,0.0015025004645151461,0.9630558333333329,0.9597216666666671,0.9538283333333335,18.34762442907208,0.4598650000000001,0.0007141666666666824,0.03477956126085553,-0.0007141666666666824,0.0023599999999990295,0.01591407313811244
primary,maxscore,1.0,0.8981616666666666,0.021282084262420443,0.0015048706099740998,0.9634608333333325,0.9598091666666675,0.9534025000000002,19.42652251818964,0.43816666666666665,0.0007141666666666824,0.03477956126085553,-0.0007141666666666824,0.0023599999999990295,0.01591407313811244
null_uA_uB,uncorrected,0.0,0.8456524999999999,0.02733509910493272,0.0019328833941504252,0.8992066666666665,0.8991691666666671,0.899350833333333,6.877456532177283,0.7578050000000001,0.0,0.0,0.0,0.0,0.11849235829350879
null_uA_uB,uncorrected,0.25,0.8456524999999999,0.02733509910493272,0.0019328833941504252,0.8992066666666665,0.8991691666666671,0.899350833333333,6.877456532177283,0.7578050000000001,0.0,0.0,0.0,0.0,0.11849235829350879
null_uA_uB,uncorrected,0.5,0.8456524999999999,0.02733509910493272,0.0019328833941504252,0.8992066666666665,0.8991691666666671,0.899350833333333,6.877456532177283,0.7578050000000001,0.0,0.0,0.0,0.0,0.11849235829350879
null_uA_uB,uncorrected,0.75,0.8456524999999999,0.02733509910493272,0.0019328833941504252,0.8992066666666665,0.8991691666666671,0.899350833333333,6.877456532177283,0.7578050000000001,0.0,0.0,0.0,0.0,0.11849235829350879
null_uA_uB,uncorrected,1.0,0.8456524999999999,0.02733509910493272,0.0019328833941504252,0.8992066666666665,0.8991691666666671,0.899350833333333,6.877456532177283,0.7578050000000001,0.0,0.0,0.0,0.0,0.11849235829350879
null_uA_uB,bonferroni,0.0,0.9479575,0.01592008761591759,0.0011257201910299303,0.9663533333333336,0.9663508333333328,0.9665825000000001,9.378666964626765,0.680655,0.0,0.0,0.0,0.0,0.04532762723029693
null_uA_uB,bonferroni,0.25,0.9479575,0.01592008761591759,0.0011257201910299303,0.9663533333333336,0.9663508333333328,0.9665825000000001,9.378666964626765,0.680655,0.0,0.0,0.0,0.0,0.04532762723029693
null_uA_uB,bonferroni,0.5,0.9479575,0.01592008761591759,0.0011257201910299303,0.9663533333333336,0.9663508333333328,0.9665825000000001,9.378666964626765,0.680655,0.0,0.0,0.0,0.0,0.04532762723029693
null_uA_uB,bonferroni,0.75,0.9479575,0.01592008761591759,0.0011257201910299303,0.9663533333333336,0.9663508333333328,0.9665825000000001,9.378666964626765,0.680655,0.0,0.0,0.0,0.0,0.04532762723029693
null_uA_uB,bonferroni,1.0,0.9479575,0.01592008761591759,0.0011257201910299303,0.9663533333333336,0.9663508333333328,0.9665825000000001,9.378666964626765,0.680655,0.0,0.0,0.0,0.0,0.04532762723029693
null_uA_uB,sidak,0.0,0.9461191666666667,0.016254917028710836,0.001149396205862612,0.965150833333333,0.9651858333333336,0.9654549999999997,9.306747230723778,0.6827941666666666,0.0,0.0,0.0,0.0,0.04674964699151418
