mode,bw,q,rho,delay_mean_ms,delay_sd_ms,loss,se_batch_mean_ms,se_naive_mean_ms,n_seed,n_rows,n_pkt,source,se_mean_ms
poisson,4.0,10,0.92,8.402877830051276,0.2774077371359876,0.015212278611280505,0.4270886955684873,0.0623863451980879,5,5,89470,phase-20R,0.12406051154409221
poisson,4.0,10,0.94,9.456214189812599,0.31118944391283776,0.020683162718751064,0.4548857448698064,0.06444421660678348,5,5,90954,phase-20R,0.13916815009389266
poisson,4.0,10,0.96,10.612323052094954,0.3134492362899877,0.027642072845003668,0.530108562110105,0.06608711326409937,5,5,92260,phase-20R,0.1401787599679613
poisson,4.0,10,0.98,11.822427678694263,0.2687247782880092,0.03495219978754164,0.3753094589734534,0.0668620444610219,5,5,93511,phase-L,0.12017737429810964
poisson,4.0,10,1.0,12.974915686054079,0.39504428277860376,0.044000109786039715,0.36353754611140937,0.06715412500962172,5,5,94508,phase-L,0.1766691740831215
poisson,4.0,10,1.02,14.236645856053855,0.32819057908442983,0.053708674720347925,0.2579564408047331,0.0669180816334681,5,5,95417,phase-L,0.14677128888156116
poisson,4.0,10,1.04,15.093849322784877,0.3641927237515495,0.06549162400079489,0.6092125076903749,0.06626861132380978,5,5,96034,phase-20R,0.16287193744385337
poisson,6.0,13,0.5,0.4268883571647188,0.02011014789308622,0.0,0.025344835808358012,0.008189612021033753,5,5,74035,phase-L,0.008993531545302993
poisson,6.0,13,0.52,0.4516637540891127,0.020129866870197938,0.0,0.023132268080488967,0.008098615388317337,5,5,76946,phase-20R,0.009002350139956705
poisson,6.0,13,0.54,0.4970837510658794,0.017239535558241953,0.0,0.027581368944247085,0.008697225644898944,5,5,79919,phase-20R,0.007709754681750758
poisson,6.0,13,0.56,0.5556304941361534,0.01563277200376367,0.0,0.029068776938758728,0.009321916096348474,5,5,82917,phase-20R,0.006991188175434232
poisson,6.0,13,0.58,0.6246553153444006,0.026365260418395924,0.0,0.03127733804986048,0.01019152640785117,5,5,85885,phase-20R,0.011790902908003565
poisson,6.0,13,0.6,0.7098621620370438,0.026391115037878714,1.1284134506883322e-05,0.042316125101550764,0.011242363620804646,5,5,88965,phase-L,0.011802465445342747
poisson,6.0,13,0.62,0.7850630447402718,0.025053648028656332,0.0,0.04265277870458019,0.011691013168620175,5,5,91869,phase-20R,0.01120433201528583
