mode,rho_bar,tau_rho,sigma_rho,ar1_median,ar1_min,ar1_max,tt_median,tt_min,tt_max
poisson,0.925,10.0,0.012112403100775193,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.925,10.0,0.021802325581395346,0.000229375,2.375e-05,0.00083875,0.0061,0.00587,0.01213
poisson,0.925,20.0,0.012112403100775193,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.925,20.0,0.021802325581395346,0.000108125,5.0625e-05,0.001400625,0.0066,0.0025,0.015315
poisson,0.925,28.0,0.012112403100775193,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.925,28.0,0.021802325581395346,0.00012366071428571428,0.0,0.00020357142857142858,0.007446428571428572,0.002664285714285714,0.017264285714285715
poisson,0.96,0.5,0.005329457364341101,0.0,0.0,0.0,0.00039,0.00023,0.000865
poisson,0.96,0.5,0.009593023255813982,0.000315,0.00019875,0.0004275,0.033405,0.02935,0.037905
poisson,0.96,1.0,0.005329457364341101,0.0,0.0,0.0,0.000555,0.000195,0.000825
poisson,0.96,1.0,0.009593023255813982,0.00031,0.00018,0.000345,0.030935,0.02848,0.037245
poisson,0.96,2.0,0.005329457364341101,0.0,0.0,0.0,0.000325,3e-05,0.000935
poisson,0.96,2.0,0.009593023255813982,0.000225,9.3125e-05,0.00028125,0.02902,0.02466,0.03419
poisson,0.96,3.0,0.005329457364341101,0.0,0.0,0.0,0.000115,0.0,0.000665
poisson,0.96,3.0,0.009593023255813982,0.000188125,4.125e-05,0.0002,0.029065,0.021895,0.03297
poisson,0.96,5.0,0.005329457364341101,0.0,0.0,0.0,0.0,0.0,0.00073
poisson,0.96,5.0,0.009593023255813982,0.000121875,3.0625e-05,0.000224375,0.028935,0.02071,0.03075
poisson,0.96,10.0,0.005329457364341101,0.0,0.0,0.0,0.0,0.0,0.000695
poisson,0.96,10.0,0.009593023255813982,0.00018125,1.5e-05,0.000381875,0.02909,0.01827,0.035165
poisson,0.96,20.0,0.005329457364341101,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.96,20.0,0.009593023255813982,0.000105,5.0625e-05,0.00088375,0.03024,0.019845,0.035025
poisson,0.96,28.0,0.005329457364341101,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.96,28.0,0.009593023255813982,0.00010714285714285714,0.0,0.00019330357142857143,0.02605714285714286,0.018007142857142857,0.08563928571428571
