z_s,n,rms_e_model,rms_e_stale,cov_e,rms_total,corr_e
0.26499998569488525,10000,2.1328317208295755,16.753773744231538,-14.368355582670931,16.015654674628106,-0.40210347830973014
0.27000001072883606,10000,2.136310110159508,16.839904263553695,-14.574145168482207,16.093411886714986,-0.4051157958870587
0.2750000059604645,10000,2.1332209493445156,16.889923950177625,-14.55681466179032,16.14640930169694,-0.4040199573477775
0.2800000011920929,10000,2.134558379888866,16.983747799744208,-14.778362445099837,16.231059851786338,-0.4076474633923577
0.2849999964237213,10000,2.1306264720470316,17.070701649482256,-14.98304926398215,16.30896457292919,-0.41194716342558096
0.28999999165534973,10000,2.1320464934604115,17.244112469314135,-15.262964161880088,16.47358821814094,-0.41514648642098506
0.29499998688697815,10000,2.1388838547524616,17.301305181640988,-15.42932144047952,16.524265256023913,-0.4169469082285698
0.30000001192092896,10000,2.1364061284081437,17.402599772562798,-15.55801294266206,16.62223463028297,-0.41846214897749684
0.3050000071525574,10000,2.1383101113744285,17.538110166726174,-15.86502411697033,16.74597354944434,-0.4230456689815929
0.3100000023841858,10000,2.1396756237548162,17.651432495904764,-16.050782022133912,16.85377455907446,-0.42497981356602244
0.3149999976158142,10000,2.1350712504179175,17.743790273045256,-16.092037143064324,16.94746435936798,-0.42476845623869486
0.3199999928474426,10000,2.137598999766835,17.889539398534463,-16.3473510695218,17.085381097197608,-0.4274860951086599
0.32499998807907104,10000,2.133737637368489,17.93577295754863,-16.39012527524953,17.13080667509141,-0.4282734554107587
0.33000001311302185,10000,2.1394980551180365,18.05671953823976,-16.722038363776946,17.238865846770473,-0.43285104158027826
0.33500000834465027,10000,2.1420979201457175,18.132316270378077,-16.815644321561226,17.312948569940005,-0.4329332161020193
0.3400000035762787,10000,2.1428658575720285,18.248791940198384,-17.093382227772278,17.4190561427608,-0.437118209880823
0.3449999988079071,10000,2.146164536846263,18.320655843750313,-17.24122594136073,17.486280361518784,-0.4384944615821387
0.3499999940395355,10000,2.1480944150763435,18.43703553109495,-17.52734065907903,17.59215471375754,-0.4425593993787135
0.35499998927116394,10000,2.1490112294921406,18.55501800787881,-17.802366630437113,17.70034489145101,-0.44645498425040914
0.36000001430511475,10000,2.1489030446229074,18.62072150391404,-17.963375574129653,17.76013238895637,-0.44892586091776543
0.36500000953674316,10000,2.1444387212269094,18.7053757589,-18.075595494020796,17.842043288892093,-0.4506221512358717
0.3700000047683716,10000,2.1458501059680395,18.787785570732137,-18.188617713035153,17.922285677419143,-0.4511539024328441
