run_id,timestamp_utc,cfg_bw_mbps,cfg_delay_ms,cfg_queue_pkts,offered_mbps,rho_offered,sample_idx,t_rel_s,netem_backlog_bytes,netem_backlog_pkts,htb_backlog_bytes,htb_backlog_pkts
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,61,3.435258,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,62,3.491541,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,63,3.547895,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,64,3.604441,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,65,3.661023,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,66,3.717253,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,67,3.773692,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,68,3.829959,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,69,3.88617,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,70,3.942759,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,71,4.000196,1512,1,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,72,4.056736,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,73,4.112592,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,74,4.168949,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,75,4.225096,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,76,4.2821,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,77,4.338174,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,78,4.395079,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,79,4.451503,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,80,4.507817,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,81,4.564395,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,82,4.620784,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,83,4.676912,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,84,4.73289,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,85,4.789778,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,86,4.846447,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,87,4.903067,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,88,4.960068,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,89,5.016903,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,90,5.072994,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,91,5.129819,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,92,5.186022,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,93,5.242596,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,94,5.299265,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,95,5.355738,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,96,5.412618,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,97,5.469162,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,98,5.525948,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,99,5.582453,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,100,5.638698,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,101,5.695671,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,102,5.752068,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,103,5.808431,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,104,5.864697,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,105,5.921149,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,106,5.977685,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,107,6.03384,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,108,6.09098,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,109,6.146859,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,110,6.203193,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,111,6.259922,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,112,6.316226,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,113,6.372509,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,114,6.42848,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,115,6.48489,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,116,6.541072,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,117,6.597614,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,118,6.654367,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,119,6.711451,1512,1,1512,1
