family,param,kappa,policy,coverage,p_reject,n_accept,n_reject,err_system,err_accept,err_reject,err_delta_vs_anchor,regret_system,regret_accept,regret_reject,regret_delta_vs_anchor,sla_system,sla_accept,sla_reject,sla_delta_vs_anchor,eps
additive,3.250835693518013,,static,0.5070074624925245,0.4929925375074755,253487,246480,0.14640366264173435,0.018987166994757127,0.2774423888347939,0.019867311242542013,0.6282235770060168,0.04122784621381275,1.2319065809467968,0.13540336026898647,0.0023281536581414375,1.5779901927909517e-05,0.004706264199935086,0.0007400488432236529,3.250835693518013
additive,3.9010028322216157,,static,0.5362973956281114,0.46370260437188854,268131,231836,0.14443153248114377,0.022783639340471635,0.28512396694214875,0.017895181081951428,0.6145200614329295,0.05348314214960989,1.263389909965322,0.12169984469589912,0.0022701498298887727,7.086088516434132e-05,0.004813747649200297,0.000682045014970988,3.9010028322216157
additive,4.551169970925218,,static,0.5631451675810604,0.43685483241893963,281554,218413,0.14249140443269256,0.02638215049333343,0.29216667506055044,0.015955053033500227,0.6015264275929063,0.06395492682641471,1.294504438639908,0.10870621085587595,0.002232147321723234,8.524119707054419e-05,0.004999702398666746,0.0006440425068054492,4.551169970925218
additive,5.201337109628821,,static,0.6051799418761639,0.3948200581238362,302570,197397,0.13871515520024322,0.03248834980335129,0.30153953707503156,0.01217880380105088,0.5743487596985131,0.0800458041627465,1.3320160254444813,0.08152854296148271,0.0021961449455664074,9.254056912450011e-05,0.0054205484379195226,0.0006080401306486228,5.201337109628821
additive,5.851504248332424,,static,0.6495608710174872,0.35043912898251284,324759,175208,0.13681502979196628,0.03936457496174086,0.31744555043148714,0.010278678392773938,0.5597500470985898,0.10116272666088247,1.40977036351125,0.06692983036155942,0.0021261403252614674,0.00019091079846901855,0.005713209442491211,0.0005380355103436828,5.851504248332424
additive,6.501671387036026,,static,0.6848792020273338,0.3151207979726662,342417,157550,0.1336048179179826,0.04519343373722683,0.3257569025706125,0.007068466518790256,0.5334864142601882,0.11767665277462966,1.4372016227565414,0.04066619752315781,0.002056135704956527,0.00018982702377510463,0.006112345287210409,0.0004680308900387423,6.501671387036026
additive,7.151838525739629,,static,0.7196414963387584,0.28035850366124165,359797,140170,0.13052461462456522,0.051943179070420266,0.33223228936291643,0.003988263225372879,0.5115121218251955,0.1448910922935746,1.4525775892032977,0.018691905088165095,0.0019141263323379342,0.00026959646689661115,0.006135407005778698,0.0003260215174201496,7.151838525739629
additive,7.802005664443231,,static,0.7490214354147374,0.25097856458526263,374486,125481,0.12852248248384393,0.05917444176818359,0.3354850535140778,0.0019861310846515934,0.49765708061337416,0.16905079586217486,1.478350995639056,0.0048368638763438,0.0019121262003292216,0.00037918640483222335,0.0064870378782445155,0.000324021385411437,7.802005664443231
additive,8.452172803146835,,static,0.7757692007672506,0.22423079923274936,387859,112108,0.1270523854574402,0.06562952000598156,0.33955649909016306,0.0005160340582478495,0.4844448073200242,0.19023572720971405,1.5023172125230855,-0.008375409417006152,0.0018601227681026948,0.0003996297623620955,0.006912976772398044,0.0002720179531849102,8.452172803146835
additive,9.102339941850436,,static,0.8013088863865016,0.1986911136134985,400628,99339,0.12535827364606064,0.07115578541689548,0.34395353285215274,-0.0011780777531316955,0.4740282117925941,0.2120116538477717,1.5307246711521434,-0.01879200494443628,0.0016541091712052995,0.0004967201493654962,0.0063217870121503135,6.600435628751483e-05,9.102339941850436
