label,coverage_target,coverage,policy,n_accept,n_reject,err_system,err_accept,err_reject,err_delta_vs_anchor,regret_system,regret_accept,regret_reject,regret_delta_vs_anchor,sla_system,sla_accept,sla_reject,sla_delta_vs_anchor
B3_aoi,0.32,0.31999911994191615,static,159989,339978,0.1355349453063902,0.08962491171268025,0.15713957961985775,0.008998593907197872,0.5722725537284521,0.2466044920869565,0.7255274923243649,0.07945233699142173,0.0023221532621152995,0.00080005500378151,0.003038431898534611,0.0007340484471975149
B3_aoi,0.33,0.329999779985479,static,164989,334978,0.13511291745255186,0.09038178302795943,0.15714464830526184,0.008576566053359519,0.5686991725815814,0.25048434282753435,0.7254316939599718,0.07587895584455107,0.002306152206045599,0.0008061143470170738,0.0030449760879818974,0.0007180473911278145
B3_aoi,0.34,0.3400004400290419,static,169989,329978,0.1347028903907658,0.09107648141938596,0.15717714514300954,0.008166538991573463,0.5652118688952008,0.2542946031754219,0.7253816834962941,0.07239165215817045,0.002286150885958473,0.000817699968821512,0.003042627084229858,0.0006980460710406884
B3_aoi,0.35000000000000003,0.3499990999405961,static,174988,324979,0.13430286398902327,0.09170343109241777,0.15724092941390058,0.007766512589830937,0.5617542116440818,0.2578692884772679,0.7253839075170903,0.06893399490705143,0.002272149961897485,0.000828628248794203,0.0030494278091815165,0.0006840451469797004
B3_aoi,0.36,0.35999975998415895,static,179988,319979,0.13385483441907167,0.09227281818787919,0.15724469418305576,0.007318483019879335,0.558362519647861,0.2614797860049958,0.7253588833558293,0.06554230291083063,0.0022561489058277847,0.0008389448185434585,0.0030533253744777,0.00066804409091
B3_aoi,0.37,0.3700004200277218,static,184988,314979,0.13343080643322458,0.09284926589832854,0.15726445255080498,0.006894455034032243,0.5550293646464112,0.26508990350271927,0.7253115772321685,0.06220914790938081,0.002244148113775509,0.0008432979436503989,0.0030668711247416494,0.0006560432988577244
B3_aoi,0.38,0.379999079939276,static,189987,309980,0.13299877791934267,0.09342744503571297,0.1572520807794051,0.006462426520150333,0.5517682073709398,0.2684817339517734,0.7253947227122107,0.05894799063390943,0.002230147189714521,0.000842162884828962,0.003080843925414543,0.0006420423747967364
B3_aoi,0.39,0.3899997399828389,static,194987,304980,0.1326027517816176,0.09396523870822157,0.15730539707521804,0.006066400382425258,0.5484922457664329,0.27181470672185787,0.725384249523022,0.05567202902940249,0.0022141461336448206,0.0008359531661085098,0.003095284936717162,0.000626041318727036
B3_aoi,0.4,0.40000040002640175,static,199987,299980,0.1321907245878228,0.09459114842464761,0.15725715047669844,0.005654373188630463,0.5453352800922212,0.27521448102935875,0.7254161129550277,0.05251506335519085,0.00219814507757512,0.0008350542785281043,0.0031068737915861057,0.0006100402626573352
B3_aoi,0.41000000000000003,0.4099990599379559,static,204986,294981,0.13179869871411512,0.09517235323387939,0.15725080598411423,0.005262347314922783,0.5422600803887332,0.278572153024181,0.7255001313708307,0.04943986365170283,0.0021821440215054194,0.0008439600753222171,0.003112064844854414,0.0005940392065876348
B3_aoi,0.42,0.4199997199815188,static,209986,289981,0.1314426752165643,0.09580162487022945,0.15725168200675216,0.004906323817371966,0.5392416598328433,0.2818941608761281,0.7255965310689755,0.046421443095812975,0.0021661429654357186,0.0008524377815663901,0.003117445625747894,0.000578038150517934
B3_aoi,0.43,0.4300003800250817,static,214986,284981,0.13108265145499604,0.09637836882401644,0.1572631157866665,0.004546300055803698,0.5363301456944921,0.28514191568991437,0.7258233147680941,0.04350992895746175,0.0021521420413747306,0.0008605211502144325,0.003126524224421979,0.000564037226456946
