label,coverage_target,coverage,policy,n_accept,n_reject,err_system,err_accept,err_reject,err_delta_vs_anchor,regret_system,regret_accept,regret_reject,regret_delta_vs_anchor,sla_system,sla_accept,sla_reject,sla_delta_vs_anchor
B1_random,0.2,0.1999991999471965,static,99993,399974,0.3166328977712529,0.22321562509375656,0.3399870991614455,0.09423421945848429,3.389457235718317,1.7777648851023427,3.792378308625914,1.621996579846246,0.19844709750843556,0.15703099216945185,0.20880107206968454,0.04449693679782865
B1_random,0.21,0.2099998599907594,static,104993,394974,0.31551282384637386,0.2233767965483413,0.3400046585344858,0.09311414553360522,3.370962069584547,1.781558630045435,3.793461361506369,1.603501413712476,0.19798506701442295,0.15681997847475546,0.20892767625210773,0.04403490630381604
B1_random,0.22,0.22000052003432227,static,109993,389974,0.31424073988883267,0.2228323620594038,0.3400226681778785,0.09184206157606403,3.350999361789286,1.7746145609055268,3.79562206331197,1.5835387059172148,0.19740102846787888,0.15648268526178938,0.2089421346038454,0.04345086775727197
B1_random,0.23,0.22999917994587643,static,114992,384975,0.31301065870347444,0.22260679003756784,0.34001428664198974,0.09061198039070581,3.330352031922847,1.7738352883875723,3.7952834518140306,1.5628913760507759,0.19686899335356134,0.1565761096424099,0.20890447431651407,0.04291883264295443
B1_random,0.24,0.2399998399894393,static,119992,379975,0.31188658451457796,0.22266484432295486,0.3400618461740904,0.08948790620180933,3.3119203263882455,1.7745759963015164,3.7973970573725655,1.5444596705161744,0.19639296193548775,0.15631875458363892,0.2090479636818212,0.04244280122488084
B1_random,0.25,0.25000050003300217,static,124992,374975,0.3106585034612284,0.22211021505376344,0.34017467831188747,0.08825982514845979,3.2909038023983213,1.7687314606764728,3.7982959361045614,1.5234431465262501,0.1958609268211702,0.15601798515104967,0.20914194279618642,0.0419107661105633
B1_random,0.26,0.25999915994455636,static,129991,369976,0.30945042372796605,0.22207691301705504,0.34014909075183253,0.08705174541519742,3.2721932209922455,1.7714455302924335,3.799480647911179,1.5047325651201744,0.19538689553510533,0.15604157210883832,0.209210867731961,0.04143673482449842
B1_random,0.27,0.2699998199881192,static,134991,364976,0.3082823466348779,0.2220740641968724,0.34016757266231207,0.08588366832210928,3.2507651088523333,1.7721035103616498,3.7976668444235924,1.4833044529802621,0.19486886134484876,0.1559881769895771,0.20924937530138968,0.040918700634241856
B1_random,0.28,0.2800004800316821,static,139991,359976,0.3072142761422254,0.22244287132744248,0.34018101206747114,0.08481559782945677,3.229665052633417,1.7734385049682655,3.7959767251732313,1.4622043967613458,0.19434482675856607,0.15588859283811102,0.20930006444874102,0.04039466604795916
B1_random,0.29,0.28999913994323623,static,144990,354977,0.3060762010292679,0.22249120629008898,0.3402164083870223,0.08367752271649928,3.2098317431740955,1.7719241317550112,3.7971436664244833,1.4423710873020243,0.19378678992813525,0.155327953651976,0.20949526307338223,0.03983662921752834
